Name,Gender,Position(s),Species,Resource,Range type,Region(s),Release Year
Elise,Female,Jungle,|Human-Magically Altered|,Mana,Melee Ranged,|Noxus-Shadow Isles|,2012
Evelynn,Female,Jungle,|Demon-Spirit|,Mana,Melee,Runeterra,2009
Ezreal,Male,Bottom,|Human-Magicborn|,Mana,Ranged,Piltover,2010
Fiddlesticks,Other,Jungle,|Demon-Spirit|,Mana,Ranged,Runeterra,2009
Fiora,Female,Top,Human,Mana,Melee,Demacia,2012
Fizz,Male,Middle,Yordle,Mana,Melee,Bilgewater,2011
Galio,Male,|Middle-Support|,Golem,Mana,Melee,Demacia,2010
Gangplank,Male,Top,Human,Mana,Melee,Bilgewater,2009
Garen,Male,Top,Human,Manaless,Melee,Demacia,2010
Gnar,Male,Top,Yordle,Rage,Melee Ragned,Freljord,2014
Gragas,Male,|Jungle-Top|,|Human-Iceborn|,Mana,Melee,Freljord,2010
Graves,Male,Jungle,Human,Mana,Ranged,Bilgewater,2011
Gwen,Female,Top,|Human-Magically Altered|,Mana,Melee,|Camavor-Shadow Isles|,2021
Hecarim,Male,Jungle,Undead,Mana,Melee,|Camavor-Shadow Isles|,2012
Heimerdinger,Male,|Middle-Support-Top|,Yordle,Mana,Ranged,Piltover,2009
Hwei,Male,|Middle-Support|,|Human-Magicborn|,Mana,Ranged,Ionia,2023
Illaoi,Female,Top,|Human-Spiritualist|,Mana,Melee,Bilgewater,2015
Irelia,Female,|Middle-Top|,|Human-Spiritualist|,Mana,Melee,Ionia,2010
Ivern,Male,Jungle,|Human-Magically Altered|,Mana,Ranged,|Frejord-Ionia|,2016
Janna,Female,Support,|God-Spirit|,Mana,Ranged,|Shurima-Zaun|,2009
Jarvan IV,Male,Jungle,Human,Mana,Melee,Demacia,2011
Jax,Male,|Jungle-Top|,Unknown,Mana,Melee,|Icathia-Runeterra-Shurima|,2009
Jayce,Male,|Middle-Top|,Human,Mana,Melee Ranged,Piltover,2012
Jhin,Male,Bottom,|Human-Spiritualist|,Mana,Ranged,Ionia,2016
Jinx,Female,Bottom,|Chemically Altered-Human|,Mana,Ranged,Zaun,2013
K'Sante,Male,Top,Human,Mana,Melee,Shurima,2022
Kai'Sa,Female,Bottom,|Human-Void Being|,Mana,Ranged,|Shurima-Void|,2018
Kalista,Female,Bottom,Undead,Mana,Ranged,|Camavor-Shadow Isles|,2014
Karma,Female,Support,|Human-Spiritualist|,Mana,Ranged,Ionia,2011
Karthus,Male,Jungle,Undead,Mana,Ranged,|Noxus-Shadow Isles|,2009
Kassadin,Male,Middle,|Human-Void Being|,Mana,Melee,|Shurima-Void|,2009
Katarina,Female,Middle,Human,Manaless,Melee,Noxus,2009
Kayle,Female,Top,|Aspect-Human-Magically Altered|,Mana,Melee Ranged,|Demacia-Targon|,2009
Kayn,Male,Jungle,|Darkin-Human-Magically Altered|,Mana,Melee,"|Ionia-Noxus-Runeterra,Shurima|",2017
Kennen,Male,Top,Yordle,Energy,Ranged,Ionia,2010
Kha'Zix,Male,Jungle,Void Being,Mana,Melee,Void,2012
Kindred,Other,Jungle,|God-Spirit|,Mana,Ranged,Runeterra,2015
Kled,Male,Top,Yordle,Courage,Melee,Noxus,2016
Kog'Maw,Male,Bottom,Void Being,Mana,Ranged,Void,2010
LeBlanc,Female,Middle,|Human-Magically Altered|,Mana,Ranged,Noxus,2010
Lee Sin,Male,Jungle,|Human-Spiritualist|,Energy,Melee,Ionia,2011
Leona,Female,Support,|Aspect-Human|,Mana,Melee,Targon,2011
Lillia,Female,Jungle,Spirit,Mana,Melee,Ionia,2020
Lissandra,Female,Middle,|Human-Iceborn|,Mana,Ranged,Freljord,2013
Lucian,Male,Bottom,Human,Mana,Ranged,|Demacia-Shadow Isles|,2013
Lulu,Female,Support,Yordle,Mana,Ranged,Bandle City,2012
Lux,Female,|Middle-Support|,|Human-Magicborn|,Mana,Ranged,Demacia,2010
Malphite,Male,Top,Golem,Mana,Melee,|Ixtal-Shurima|,2009
Malzahar,Male,Middle,|Human-Void Being|,Mana,Ranged,|Shurima-Void|,2010
Maokai,Male,|Jungle-Support|,Spirit,Mana,Melee,Shadow Isles,2011
Master Yi,Male,Jungle,|Human-Spiritualist|,Mana,Melee,Ionia,2009
Milio,Male,Support,|Human-Magicborn|,Mana,Ranged,Ixtal,2023
Miss Fortune,Female,Bottom,Human,Mana,Ranged,Bilgewater,2010
MordeKaiser,Male,Top,Revenant,Shield,Melee,|Noxus-Shadow Isles|,2010
Morgana,Female,Support,|Aspect-Human-Magically Altered|,Mana,Ranged,|Demacia-Targon|,2009
Naafiri,Female,Middle,|Darkin-Dog|,Mana,Melee,Shurima,2023
Nami,Female,Support,Vastayan,Mana,Ranged,|Bilgewater-Runeterra|,2012
Nasus,Male,Top,God Warrior,Mana,Melee,Shurima,2009
Nautilus,Male,Support,Revenant,Mana,Melee,Bilgewater,2012
Neeko,Female,|Middle-Support|,Vastayan,Mana,Ranged,Ixtal,2018
Nidalee,Female,Jungle,|Human-Spiritualist|,Mana,Melee Ranged,Ixtal,2009
Nilah,Female,Bottom,|Human-Magically Altered|,Mana,Melee,Bilgewater,2022
Nocturne,Male,Jungle,|Demon-Spirit|,Mana,Melee,Runeterra,2011
Nunu & Willump,Male,Jungle,|Human-Yeti|,Mana,Melee,Freljord,2009
Olaf,Male,Top,|Human-Iceborn|,Mana,Melee,Freljord,2010
Orianna,Female,Middle,Golem,Mana,Ranged,Piltover,2011
Ornn,Male,Top,|God-Spirit|,Mana,Melee,Freljord,2017
Pantheon,Male,|Middle-Support-Top|,|Aspect-Human|,Mana,Melee,Targon,2010
Poppy,Female,|Jungle-Top|,Yordle,Mana,Melee,Demacia,2010
Pyke,Male,Support,Revenant,Mana,Melee,Bilgewater,2018
Qiyana,Female,Middle,|Human-Magicborn|,Mana,Melee,Ixtal,2019
Quinn,Female,Top,Human,Mana,Ranged,Demacia,2013
Rakan,Male,Support,Vastayan,Mana,Melee,Ionia,2017
Rammus,Male,Jungle,Unknown,Mana,Melee,Shurima,2009
Rek'Sai,Female,Jungle,Void Being,Rage,Melee,|Shurima-Void|,2014
Rell,Female,Support,|Human-Magically Altered-Magicborn|,Mana,Melee,Noxus,2020
Renata Glasc,Female,Support,|Chemically Altered-Human|,Mana,Ranged,Zaun,2022
Renekton,Male,Top,God Warrior,Fury,Melee,Shurima,2011
Rengar,Male,Jungle,Vastayan,Ferocity,Melee,|Ixtal-Shurima|,2012
Riven,Female,Top,Human,Manaless,Melee,|Ionia-Noxus|,2011
Rumble,Male,Top,Yordle,Heat,Melee,Bandle City,2011
Ryze,Male,Middle,|Human-Magically Altered|,Mana,Ranged,Runeterra,2009
Samira,Female,Bottom,Human,Mana,Ranged,|Noxus-Shurima|,2020
Sejuani,Female,Jungle,|Human-Iceborn|,Mana,Melee,Freljord,2012
Senna,Female,Support,|Human-Undead|,Mana,Ranged,Shadow Isles,2019
Seraphine,Female,Support,|Human-Magicborn|,Mana,Ranged,|Piltover-Zaun|,2020
Sett,Male,Top,|Human-Vastayan|,Grit,Melee,Ionia,2020
Shaco,Male,|Jungle-Support|,Spirit,Mana,Melee,Runeterra,2009
Shen,Male,Top,|Human-Spiritualist|,Energy,Melee,Ionia,2010
Shyvana,Female,Jungle,|Dragon-Magically Altered|,Fury,Melee,Demacia,2011
Singed,Male,Top,|Chemically Altered-Human|,Mana,Melee,|Piltover-Zaun|,2009
Sion,Male,Top,Revenant,Mana,Melee,Noxus,2009
Sivir,Female,Bottom,Human,Mana,Ranged,Shurima,2009
Skarner,Male,Jungle,Brackern,Mana,Melee,Shurima,2011
Sona,Female,Support,Celestial,Mana,Ranged,|Ionia-Targon|,2009
Swain,Male,Support,|Human-Magically Altered|,Mana,Ranged,Noxus,2010
Sylas,Male,Middle,|Human-Magicborn|,Mana,Melee,|Demacia-Freljord|,2019
Syndra,Female,Middle,|Human-Magicborn|,Mana,Ranged,Ionia,2012
Tahm Kench,Male,Support,|Demon-Spirit|,Mana,Melee,|Bilgewater-Runeterra|,2015
Taliyah,Female,|Jungle-Middle|,|Human-Magicborn|,Mana,Ranged,Shurima,2016
Talon,Male,|Jungle-Middle|,Human,Mana,Melee,Noxus,2011
Taric,Male,Support,|Aspect-Human|,Mana,Melee,|Demacia-Targon|,2009
Teemo,Male,Top,Yordle,Mana,Ranged,Bandle City,2009
Thresh,Male,Suppot,Undead,Mana,Ranged,Shadow Isles,2013
Tristana,Female,|Bottom-Middle|,Yordle,Mana,Ranged,Bandle City,2009
Trundle,Male,|Jungle-Top|,|Iceborn-Troll|,Mana,Melee,Freljord,2010
Tryndamere,Male,Top,|Human-Magically Altered|,Fury,Melee,Freljord,2009
Twisted Fate,Male,Middle,|Human-Magicborn|,Mana,Ranged,Bilgewater,2009
Twitch,Male,Bottom,|Chemically Altered-Rat|,Mana,Ranged,Zaun,2009
Udyr,Male,|Jungle-Top|,|Human-Spiritualist|,Mana,Melee,|Freljord-Ionia|,2009
Urgot,Male,Top,|Chemically Altered-Cyborg-Human|,Mana,Ranged,|Noxus-Zaun|,2010
Varus,Male,Bottom,|Darkin-Human|,Mana,Ranged,|Ionia-Runeterra-Shurima|,2012
Vayn,Female,Bottom,Human,Mana,Ranged,Demacia,2011
Veigar,Male,Middle,Yordle,Mana,Ranged,|Bandle City-Runeterra-Shadow Isles|,
Vel'Koz,Male,|Middle-Support|,Void Being,Mana,Ranged,Void,2014
Vex,Female,Middle,Yordle,Mana,Ranged,|Bandle City-Shadow Isles|,2021
Vi, Female,Jungle,Human,Mana,Melee,|Piltover-Zaun|,2012
Viego,Male,Jungle,Undead,Manaless,Melee,|Camavor-Shadow Isles|,2021
Viktor,Male,Middle,|Cyborg-Human|,Mana,Ranged,|Piltover-Zaun|,2011
Vladimir,Male,Middle,|Human-Magically Altered|,Bloodthirst,Ranged,|Camavor-Noxus-Shadow Isles|,2010
Voilbear,Male,|Jungle-Top|,|God-Spirit|,Mana,Melee,Freljord,2011
Warwick,Male,|Jungle-Top|,|Chemically Altered-Cyborg-Human|,Mana,Melee,Zaun,2009
Wukong,Male,|Jungle-Top|,Vastayan,Mana,Melee,Ionia,2011
Xayah,Female,Bottom,Vastayan,Mana,Ranged,Ionia,2017
Xerath,Male,|Middle-Support|,God Warrior,Mana,Ranged,Shurima,2011
Xin Zhao,Male,Jungle,Human,Mana,Melee,|Demacia-Ionia-Noxus|,2010
Yasuo,Male,Middle,|Human-Magicborn|,Flow,Melee,Ionia,2013
Yone,Male,|Middle-Top|,|Human-Magically Altered|,Manaless,Melee,Ionia,2020
Yorick,Male,Top,|Human-Magically Altered|,Mana,Melee,Shadow Isles,2011
Yuumi,Female,Support,|Cat-Magically Altered|,Mana,Ranged,Bandle City,2019
Zac,Male,|Jungle-Top|,Golem,Health Costs,Melee,Zaun,2013
Zed,Male,Middle,|Human-Magically Altered|,Energy,Melee,Ionia,2012
Zeri,Female,Bottom,|Human-Magicborn|,Mana,Ranged,Zaun,2022
Ziggs,Male,|Bottom-Middle|,Yordle,Mana,Ranged,Zaun,2012
Zilean,Male,Support,|Human-Magicborn|,Mana,Ranged,|Icathia-Runeterra-Shurima|,2009
Zoey,Female,Middle,|Aspect-Human|,Mana,Ranged,Targon,2017
Zyra,Female,Support,Unknown,Mana,Ranged,Ixtal,2012
